FOLIO_I,indice1,nseF,nse5F
2022_11014064,-1,66,1,1
2022_07039040,-3,35,1,1
2022_07057021,-2,51,1,1
2022_11014034,-2,41,1,1
2022_11027058,-2,83,1,1
2022_11020019,-2,41,1,1
2022_20272007,-2,41,1,1
2022_09017032,-1,57,1,1
2022_07058019,-2,83,1,1
2022_07058009,-1,47,1,1
2022_25006067,-1,47,1,1
2022_07039012,-1,04,1,2
2022_06003059,-1,37,1,1
2022_16006003,-,95,1,2
2022_11016009,,06,2,3
2022_11014033,-,52,1,2
2022_15115017,-,95,1,2
2022_15037007,-,95,1,2
2022_20515010,1,42,3,5
2022_09017033,0,2,3
2022_15109007,-,43,2,2
2022_15037025,0,2,3
2022_09005063,,42,2,3
2022_08064002,-,85,1,2
2022_09015018,,94,3,4
2022_19031138,,09,2,3
2022_21010005,-4,67,1,1
2022_31052025,-1,06,1,2
2022_19021096,-2,46,1,1
2022_20016031,-4,67,1,1
2022_28003003,-1,03,1,2
2022_25006120,-1,36,1,1
2022_20016008,-4,01,1,1
2022_07008016,-2,24,1,1
2022_21212007,-4,43,1,1
2022_20016016,-2,68,1,1
2022_23002038,-2,98,1,1
2022_07089010,-4,17,1,1
2022_21147008,-2,7,1,1
2022_12001093,-3,19,1,1
2022_16006015,-2,33,1,1
2022_28017005,-4,12,1,1
2022_30159019,-4,27,1,1
2022_07058006,-3,81,1,1
2022_22004005,-2,92,1,1
2022_03008025,-3,95,1,1
2022_07022005,-2,43,1,1
2022_07057003,-3,5,1,1
2022_07058003,-3,89,1,1
2022_03003139,-1,83,1,1
2022_09003022,-1,06,1,2
2022_12001089,-1,36,1,1
2022_12001119,-2,24,1,1
2022_12051015,-4,14,1,1
2022_26047033,-4,12,1,1
2022_07052021,-2,92,1,1
2022_30201014,-4,24,1,1
2022_30201012,-2,74,1,1
2022_12007028,-3,9,1,1
2022_17005004,-1,17,1,1
2022_12032021,-1,62,1,1
2022_30159028,-4,09,1,1
2022_20002002,-4,24,1,1
2022_21010010,-5,25,1,1
2022_12051024,-4,06,1,1
2022_24037023,-2,7,1,1
2022_22012023,-3,46,1,1
2022_12051002,-3,94,1,1
2022_27010001,-,76,1,2
2022_07008018,-2,2,1,1
2022_30159012,-4,98,1,1
2022_19021118,-1,92,1,1
2022_21147019,-2,13,1,1
2022_07108004,-2,6,1,1
2022_04008033,-,73,1,2
2022_12001084,-2,92,1,1
2022_21148033,-2,43,1,1
2022_07052015,-4,27,1,1
2022_30159020,-3,17,1,1
2022_07008013,-2,68,1,1
2022_04008008,-,73,1,2
2022_16107010,-1,33,1,1
2022_07089038,-2,61,1,1
2022_24037032,-2,43,1,1
2022_27010028,-3,46,1,1
2022_25015017,-5,2,1,1
2022_30159025,-3,46,1,1
2022_13027039,-3,31,1,1
2022_07087023,-3,19,1,1
2022_30201024,-4,54,1,1
2022_23005038,-2,53,1,1
2022_27006028,-3,46,1,1
2022_21212006,-3,68,1,1
2022_03008101,-2,43,1,1
2022_07052016,-2,41,1,1
2022_06003062,-1,07,1,2
2022_20076004,-2,55,1,1
2022_20016025,-3,06,1,1
2022_21147030,-3,19,1,1
2022_20016013,-5,25,1,1
2022_21212011,-2,74,1,1
2022_07057038,-3,46,1,1
2022_21010009,-3,38,1,1
2022_13057035,-1,84,1,1
2022_04002125,-4,27,1,1
2022_21010008,-4,18,1,1
2022_07022020,-3,2,1,1
2022_23002041,-1,66,1,1
2022_30201002,-3,19,1,1
2022_04002156,-1,03,1,2
2022_30201022,-4,65,1,1
2022_16006007,-,73,1,2
2022_09008011,-2,4,1,1
2022_20016034,-2,34,1,1
2022_05002016,-2,43,1,1
2022_10005112,-1,96,1,1
2022_12051014,-3,23,1,1
2022_13027022,-2,86,1,1
2022_04002149,-2,94,1,1
2022_13057025,-3,3,1,1
2022_19021113,-1,36,1,1
2022_09005033,-,06,2,3
2022_26042009,-1,92,1,1
2022_07057022,-4,47,1,1
2022_20016018,-2,22,1,1
2022_23006015,-2,43,1,1
2022_30159005,-3,49,1,1
2022_23006007,-4,9,1,1
2022_12001122,-2,68,1,1
2022_29013023,-2,13,1,1
2022_20016024,-4,22,1,1
2022_20272010,-2,17,1,1
2022_13046034,-1,05,1,2
2022_23006013,-2,16,1,1
2022_23004011,-1,84,1,1
2022_20002016,-3,68,1,1
2022_13002008,-1,65,1,1
2022_20258007,-1,92,1,1
2022_07022009,-3,46,1,1
2022_20002014,-4,77,1,1
2022_30159017,-3,65,1,1
2022_07022002,-3,19,1,1
2022_30201010,-4,17,1,1
2022_12051027,-3,52,1,1
2022_04001030,-2,73,1,1
2022_31101012,-2,14,1,1
2022_07057037,-2,9,1,1
2022_07022024,-3,49,1,1
2022_07022017,-3,46,1,1
2022_30039003,,3,2,3
2022_12007012,-4,14,1,1
2022_29043002,-1,57,1,1
2022_07039039,-3,22,1,1
2022_20016009,-1,59,1,1
2022_07022013,-3,19,1,1
2022_07052017,-2,87,1,1
2022_07022015,-4,54,1,1
2022_30159004,-2,98,1,1
2022_03001005,-2,89,1,1
2022_30033010,-5,21,1,1
2022_07022012,-3,16,1,1
2022_20016017,-1,66,1,1
2022_21212008,-2,13,1,1
2022_30167006,-2,33,1,1
2022_12001130,-1,44,1,1
2022_09005018,-1,03,1,2
2022_11014032,-,68,1,2
2022_21010002,-4,17,1,1
2022_07087010,-3,12,1,1
2022_07057028,-4,88,1,1
2022_13057002,-1,92,1,1
2022_07008014,-4,38,1,1
2022_07022008,-3,76,1,1
2022_23002057,-2,12,1,1
2022_07057034,-4,95,1,1
2022_21147020,-5,47,1,1
2022_12031006,-1,14,1,1
2022_23005128,-2,22,1,1
2022_21085008,-3,71,1,1
2022_25006014,-2,13,1,1
2022_21212017,-2,92,1,1
2022_07022022,-3,95,1,1
2022_26055020,-2,89,1,1
2022_30159026,-4,36,1,1
2022_04002144,-2,1,1
2022_31050123,-2,4,1,1
2022_11001020,-3,52,1,1
2022_30159021,-5,25,1,1
2022_21212001,-2,46,1,1
2022_07087017,-5,2,1,1
2022_14097013,-,55,1,2
2022_21147021,-4,16,1,1
2022_31052014,-1,62,1,1
2022_04001038,-3,49,1,1
2022_15122018,-1,62,1,1
2022_29007004,-2,22,1,1
2022_30159015,-2,88,1,1
2022_23005086,-1,06,1,2
2022_07052014,-2,41,1,1
2022_22011010,-3,49,1,1
2022_30159007,-3,98,1,1
2022_23006010,-2,68,1,1
2022_17036031,-1,57,1,1
2022_20016011,-4,01,1,1
2022_21010004,-3,68,1,1
2022_30159014,-4,54,1,1
2022_21147029,-2,9,1,1
2022_26047008,-1,35,1,1
2022_07057033,-4,09,1,1
2022_07022018,-3,76,1,1
2022_07052003,-3,93,1,1
2022_21212024,-2,9,1,1
2022_21212003,-2,46,1,1
2022_20499017,-2,36,1,1
2022_04002124,-1,92,1,1
2022_25018011,-3,19,1,1
2022_30201025,-4,39,1,1
2022_31056027,-1,92,1,1
2022_21212009,-3,76,1,1
2022_25018014,-3,19,1,1
2022_21212012,-3,21,1,1
