clave_medicamento,establecimiento_salud,unidad_almacen,corte,nombre_medicamento,unidad_medida,corte_anio,corte_mes,consumo_arv_mensual,numero_pacientes,mes
010.000.4371.00,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,"Abacavir 600 Mg, Lamivudina 300 Mg",tableta,2024,abr-25,0,0,abril
010.000.4370.00,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,Efavirenz 600 Mg,tableta,2024,abr-25,0,0,abril
010.000.5640.01,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,"Efavirenz 600 Mg, Emtricitabina 200 Mg, Tenofovir Succinato 245 Mg - Tableta",tableta,2024,abr-25,0,0,abril
010.000.6162.00,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,"Emtricitabina 200 Mg, Tenofovir Alafenamida 10 Mg",tableta,2024,abr-25,0,0,abril
010.000.6163.00,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,"Emtricitabina 200 Mg, Tenofovir Alafenamida 25 Mg",tabletas,2024,abr-25,0,0,abril
010.000.4396.01,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,"Emtricitabina 200 Mg, Tenofovir Succinato 245 Mg - Tableta",tableta,2024,abr-25,12,12,abril
010.000.4269.01,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,Enfuvirtida 108 Mg,caja,2024,abr-25,0,0,abril
010.000.6074.00,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,Etravirina 200 Mg,tableta,2024,abr-25,1,1,abril
010.000.5282.01,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,Lamivudina 150 Mg,tableta,2024,abr-25,0,0,abril
010.000.4268.00,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,"Lamivudina 150 Mg, Zidovudina 300 Mg",tableta,2024,abr-25,0,0,abril
010.000.4271.00,Zacatecas,Capasits - Fresnillo,24/04/2024 23:00,Lamivudina Solucion,suspension,2024,abr-25,0,0,abril
