clave_medicamento,establecimiento_salud,unidad_almacen,corte,nombre_medicamento,unidad_medida,corte_anio,corte_mes,consumo_arv_mensual,numero_pacientes,mes
010.000.5280.00,Mexico,Ceavih Ixtapaluca,24/05/2024 23:00,Raltegravir 400 Mg,comprimidos,2024,may-25,4,4,mayo
010.000.6320.00,Oaxaca,Capasits - Oaxaca,24/05/2024 23:00,Doravirina 100 Mg,tableta,2024,may-25,1,1,mayo
010.000.6074.00,Mexico,Capasits - Naucalpan,24/05/2024 23:00,Etravirina 200 Mg,tableta,2024,may-25,2,2,mayo
010.000.4370.00,Oaxaca,Capasits - Oaxaca,24/05/2024 23:00,Efavirenz 600 Mg,tableta,2024,may-25,2,2,mayo
010.000.5282.01,Mexico,Capasits - Naucalpan,24/05/2024 23:00,Lamivudina 150 Mg,tableta,2024,may-25,0,0,mayo
010.000.4272.00,Jalisco,Hospital Dr. Angel Leaño,24/05/2024 23:00,Abacavir Solucion,ml,2024,may-25,0,0,mayo
010.000.5325.00,Hidalgo,Capasits - Pachuca,24/05/2024 23:00,Maraviroc 300 Mg,tableta,2024,may-25,0,0,mayo
010.000.5324.00,Hidalgo,Capasits - Pachuca,24/05/2024 23:00,Maraviroc 150 Mg,tableta,2024,may-25,0,0,mayo
010.000.6074.00,Guerrero,Iguala - Foraneos,24/05/2024 23:00,Etravirina 200 Mg,tableta,2024,may-25,0,0,mayo
010.000.5640.01,Zacatecas,Capasits - Guadalupe,24/05/2024 23:00,"Efavirenz 600 Mg, Emtricitabina 200 Mg, Tenofovir Succinato 245 Mg - Tableta",tableta,2024,may-25,0,0,mayo
010.000.5282.01,Guerrero,Iguala - Foraneos,24/05/2024 23:00,Lamivudina 150 Mg,tableta,2024,may-25,0,0,mayo
010.000.5324.00,Guanajuato,Capasits - León,24/05/2024 23:00,Maraviroc 150 Mg,tableta,2024,may-25,2,2,mayo
010.000.5325.00,Guanajuato,Capasits - León,24/05/2024 23:00,Maraviroc 300 Mg,tableta,2024,may-25,0,0,mayo
010.000.4272.00,Colima,Hospital Regional de Colima,24/05/2024 23:00,Abacavir Solucion,ml,2024,may-25,0,0,mayo
