clave_medicamento,establecimiento_salud,unidad_almacen,corte,nombre_medicamento,unidad_medida,corte_anio,corte_mes,consumo_arv_mensual,numero_pacientes,mes
010.000.4272.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Abacavir Solucion,ml,2024,nov-25,0,0,noviembre
010.000.6203.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Bictegravir 50 Mg, Emtricitabina 200 Mg, Tenofovir Alafenamida 25 Mg",envase,2024,nov-25,130,130,noviembre
010.000.5862.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Darunavir 150 Mg,comprimidos,2024,nov-25,0,0,noviembre
010.000.5860.01,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Darunavir 400 Mg,tableta,2024,nov-25,0,0,noviembre
010.000.4289.01,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Darunavir 600 Mg,tableta,2024,nov-25,0,0,noviembre
010.000.5861.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Darunavir 75 Mg,comprimidos,2024,nov-25,0,0,noviembre
010.000.6098.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Darunavir 800 Mg, Cobicistat 150 Mg",tableta,2024,nov-25,13,13,noviembre
010.000.6318.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Dolutegravir 10 Mg,tableta,2024,nov-25,0,0,noviembre
010.000.6010.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Dolutegravir 50 Mg,tableta,2024,nov-25,1,1,noviembre
010.000.6108.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Dolutegravir 50 Mg, Abacavir 600 Mg, Lamivudina 300 Mg",tableta,2024,nov-25,4,4,noviembre
010.000.7026.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Dolutegravir 50 Mg, Lamivudina 300 Mg",tableta,2024,nov-25,0,0,noviembre
010.000.7106.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Dolutegravir 5Mg Tableta Dispersable,tableta,2024,nov-25,0,0,noviembre
010.000.6320.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Doravirina 100 Mg,tableta,2024,nov-25,0,0,noviembre
010.000.4370.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Efavirenz 600 Mg,tableta,2024,nov-25,0,0,noviembre
010.000.5640.01,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Efavirenz 600 Mg, Emtricitabina 200 Mg, Tenofovir Succinato 245 Mg - Tableta",tableta,2024,nov-25,0,0,noviembre
010.000.6162.00,Zacatecas,Capasits - Guadalupe,25/11/2024 00:00,"Emtricitabina 200 Mg, Tenofovir Alafenamida 10 Mg",tableta,2024,nov-25,1,1,noviembre
010.000.6163.00,Zacatecas,Capasits - Guadalupe,25/11/2024 00:00,"Emtricitabina 200 Mg, Tenofovir Alafenamida 25 Mg",tabletas,2024,nov-25,0,0,noviembre
010.000.4396.01,Zacatecas,Capasits - Guadalupe,25/11/2024 00:00,"Emtricitabina 200 Mg, Tenofovir Succinato 245 Mg - Tableta",tableta,2024,nov-25,37,37,noviembre
010.000.4269.01,Zacatecas,Capasits - Guadalupe,25/11/2024 00:00,Enfuvirtida 108 Mg,caja,2024,nov-25,0,0,noviembre
010.000.6074.00,Zacatecas,Capasits - Guadalupe,25/11/2024 00:00,Etravirina 200 Mg,tableta,2024,nov-25,2,2,noviembre
010.000.5282.01,Zacatecas,Capasits - Guadalupe,25/11/2024 00:00,Lamivudina 150 Mg,tableta,2024,nov-25,0,0,noviembre
010.000.4371.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Abacavir 600 Mg, Lamivudina 300 Mg",tableta,2024,nov-25,0,0,noviembre
010.000.4273.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Abacavir Tableta,tableta,2024,nov-25,0,0,noviembre
010.000.6162.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Emtricitabina 200 Mg, Tenofovir Alafenamida 10 Mg",tableta,2024,nov-25,0,0,noviembre
010.000.6163.00,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Emtricitabina 200 Mg, Tenofovir Alafenamida 25 Mg",tabletas,2024,nov-25,0,0,noviembre
010.000.4396.01,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,"Emtricitabina 200 Mg, Tenofovir Succinato 245 Mg - Tableta",tableta,2024,nov-25,12,12,noviembre
010.000.4269.01,Zacatecas,Capasits - Fresnillo,25/11/2024 00:00,Enfuvirtida 108 Mg,caja,2024,nov-25,0,0,noviembre
